Tm,Win_Pct,Pts_For,Pts_Against,PD,SOS,Year
Green Bay Packers+,.625,368,323,45,,2015
Detroit Lions,.438,358,400,-42,,2015
Chicago Bears,.375,335,397,-62,,2015
NFC South,NFC South,NFC South,NFC South,NFC South,,2015
Carolina Panthers*,.938,500,308,192,,2015
Atlanta Falcons,.500,339,345,-6,,2015
New Orleans Saints,.438,408,476,-68,,2015
Tampa Bay Buccaneers,.375,342,417,-75,,2015
NFC West,NFC West,NFC West,NFC West,NFC West,,2015
Arizona Cardinals*,.813,489,313,176,,2015
Seattle Seahawks+,.625,423,277,146,,2015
St. Louis Rams,.438,280,330,-50,,2015
San Francisco 49ers,.313,238,387,-149,,2015
AFC East,AFC East,AFC East,AFC East,AFC East,,2016
New England Patriots*,.875,441,250,191,,2016
Miami Dolphins+,.625,363,380,-17,,2016
Buffalo Bills,.438,399,378,21,,2016
New York Jets,.313,275,409,-134,,2016
AFC North,AFC North,AFC North,AFC North,AFC North,,2016
Pittsburgh Steelers*,.688,399,327,72,,2016
Baltimore Ravens,.500,343,321,22,,2016
Cincinnati Bengals,.406,325,315,10,,2016
Cleveland Browns,.063,264,452,-188,,2016
AFC South,AFC South,AFC South,AFC South,AFC South,,2016
Houston Texans*,.563,279,328,-49,,2016
Tennessee Titans,.563,381,378,3,,2016
Indianapolis Colts,.500,411,392,19,,2016
Jacksonville Jaguars,.188,318,400,-82,,2016
AFC West,AFC West,AFC West,AFC West,AFC West,,2016
Kansas City Chiefs*,.750,389,311,78,,2016
Oakland Raiders+,.750,416,385,31,,2016
Denver Broncos,.563,333,297,36,,2016
San Diego Chargers,.313,410,423,-13,,2016
NFC East,NFC East,NFC East,NFC East,NFC East,,2016
Dallas Cowboys*,.813,421,306,115,,2016
New York Giants+,.688,310,284,26,,2016
Washington Redskins,.531,396,383,13,,2016
Philadelphia Eagles,.438,367,331,36,,2016
NFC North,NFC North,NFC North,NFC North,NFC North,,2016
Green Bay Packers*,.625,432,388,44,,2016
Detroit Lions+,.563,346,358,-12,,2016
Minnesota Vikings,.500,327,307,20,,2016
Chicago Bears,.188,279,399,-120,,2016
NFC South,NFC South,NFC South,NFC South,NFC South,,2016
Atlanta Falcons*,.688,540,406,134,,2016
Tampa Bay Buccaneers,.563,354,369,-15,,2016
New Orleans Saints,.438,469,454,15,,2016
Carolina Panthers,.375,369,402,-33,,2016
NFC West,NFC West,NFC West,NFC West,NFC West,,2016
Seattle Seahawks*,.656,354,292,62,,2016
Arizona Cardinals,.469,418,362,56,,2016
Los Angeles Rams,.250,224,394,-170,,2016
San Francisco 49ers,.125,309,480,-171,,2016
AFC East,AFC East,AFC East,AFC East,AFC East,,2017
New England Patriots*,.813,458,296,162,,2017
Buffalo Bills+,.563,302,359,-57,,2017
Miami Dolphins,.375,281,393,-112,,2017
New York Jets,.313,298,382,-84,,2017
AFC North,AFC North,AFC North,AFC North,AFC North,,2017
Pittsburgh Steelers*,.813,406,308,98,,2017
Baltimore Ravens,.563,395,303,92,,2017
Cincinnati Bengals,.438,290,349,-59,,2017
Cleveland Browns,.000,234,410,-176,,2017
AFC South,AFC South,AFC South,AFC South,AFC South,,2017
Jacksonville Jaguars*,.625,417,268,149,,2017
Tennessee Titans+,.563,334,356,-22,,2017
Indianapolis Colts,.250,263,404,-141,,2017
Houston Texans,.250,338,436,-98,,2017
AFC West,AFC West,AFC West,AFC West,AFC West,,2017
Kansas City Chiefs*,.625,415,339,76,,2017
Los Angeles Chargers,.563,355,272,83,,2017
Oakland Raiders,.375,301,373,-72,,2017
Denver Broncos,.313,289,382,-93,,2017
NFC East,NFC East,NFC East,NFC East,NFC East,,2017
Philadelphia Eagles*,.813,457,295,162,,2017
Dallas Cowboys,.563,354,332,22,,2017
Washington Redskins,.438,342,388,-46,,2017
New York Giants,.188,246,388,-142,,2017
NFC North,NFC North,NFC North,NFC North,NFC North,,2017
Minnesota Vikings*,.813,382,252,130,,2017
Detroit Lions,.563,410,376,34,,2017
Green Bay Packers,.438,320,384,-64,,2017
Chicago Bears,.313,264,320,-56,,2017
NFC South,NFC South,NFC South,NFC South,NFC South,,2017
New Orleans Saints*,.688,448,326,122,,2017
Carolina Panthers+,.688,363,327,36,,2017
Atlanta Falcons+,.625,353,315,38,,2017
Tampa Bay Buccaneers,.313,335,382,-47,,2017
NFC West,NFC West,NFC West,NFC West,NFC West,,2017
Los Angeles Rams*,.688,478,329,149,,2017
Seattle Seahawks,.563,366,332,34,,2017
Arizona Cardinals,.500,295,361,-66,,2017
San Francisco 49ers,.375,331,383,-52,,2017
AFC East,AFC East,AFC East,AFC East,AFC East,,2018
New England Patriots*,.688,436,325,111,,2018
Miami Dolphins,.438,319,433,-114,,2018
Buffalo Bills,.375,269,374,-105,,2018
New York Jets,.250,333,441,-108,,2018
AFC North,AFC North,AFC North,AFC North,AFC North,,2018
Baltimore Ravens*,.625,389,287,102,,2018
Pittsburgh Steelers,.594,428,360,68,,2018
Cleveland Browns,.469,359,392,-33,,2018
Cincinnati Bengals,.375,368,455,-87,,2018
AFC South,AFC South,AFC South,AFC South,AFC South,,2018
Houston Texans*,.688,402,316,86,,2018
Indianapolis Colts+,.625,433,344,89,,2018
Tennessee Titans,.563,310,303,7,,2018
Jacksonville Jaguars,.313,245,316,-71,,2018
AFC West,AFC West,AFC West,AFC West,AFC West,,2018
Kansas City Chiefs*,.750,565,421,144,,2018
Los Angeles Chargers+,.750,428,329,99,,2018
Denver Broncos,.375,329,349,-20,,2018
Oakland Raiders,.250,290,467,-177,,2018
NFC East,NFC East,NFC East,NFC East,NFC East,,2018
Dallas Cowboys*,.625,339,324,15,,2018
Philadelphia Eagles+,.563,367,348,19,,2018
Washington Redskins,.438,281,359,-78,,2018
New York Giants,.313,369,412,-43,,2018
NFC North,NFC North,NFC North,NFC North,NFC North,,2018
Chicago Bears*,.750,421,283,138,,2018
Minnesota Vikings,.531,360,341,19,,2018
Green Bay Packers,.406,376,400,-24,,2018
Detroit Lions,.375,324,360,-36,,2018
NFC South,NFC South,NFC South,NFC South,NFC South,,2018
New Orleans Saints*,.813,504,353,151,,2018
Atlanta Falcons,.438,414,423,-9,,2018
Carolina Panthers,.438,376,382,-6,,2018
Tampa Bay Buccaneers,.313,396,464,-68,,2018
NFC West,NFC West,NFC West,NFC West,NFC West,,2018
Los Angeles Rams*,.813,527,384,143,,2018
Seattle Seahawks+,.625,428,347,81,,2018
San Francisco 49ers,.250,342,435,-93,,2018
Arizona Cardinals,.188,225,425,-200,,2018
AFC East,AFC East,AFC East,AFC East,AFC East,,2019
New England Patriots*,.750,420,225,195,,2019
Buffalo Bills+,.625,314,259,55,,2019
New York Jets,.438,276,359,-83,,2019
Miami Dolphins,.313,306,494,-188,,2019
AFC North,AFC North,AFC North,AFC North,AFC North,,2019
Baltimore Ravens*,.875,531,282,249,,2019
